aafke,Huredhiel
 dakota,Meldiriel
 dana,Erunanethiel
 danica,Elarinya
 danielle,Erubadhriel
 daphne,Laiquardiel
 dara,Miluiel
 daria,Verisiel
 darcy,Erdolliel
 darlene,Melda
 dawn,Minuialwen
 deanna,see diana
 deanne,see diana
 deborah,Nioniel
 deirdra,Randiriel
 deirdre,Naerwen
 delaina,Berthadhiell
 delia,Eäryendë
 denise,Rhavaniel
 desiree,Anira
 destiny,Maranwethiel
 devan,Teithagliriel
 diana,Valaina
 diane,see diana
 dianna,see diana
 dianne,see diana
 dinah,Baudhiel
 dixie,Hyarmenothiel
 dolores,Naerdiel
 donna,Arwen
 doreen,Malthenniel
 doris,Remethiel
 dorothy,Eruanna
 dove,Cugedhiel
 edith,Alassëa
 eilleen,see helen
 elaine,see helen
 elda,Yernadhiel
 eleanor,see helen
 electra,Siladhiel
 elise,see elizabeth
 elizabeth,Eruwaedhiel
 ella,Pánedhiel
 ellen,see helen
 ellie,Calathiel
 elodie,Glanlotiel
 eloise,Manathiel
 elva,Edhelwen
 elvina,Elvellonwen
 emily,Miluiel
 emma,Ardhoniel
 erica,Caunwen
 erin,Lónannûniel
 esther,Eleniel
 ethel,Arawen
 evangeline,Maersiniathwen
 eve,Cuilwen
 evelyn,see eve
 fabiola,Panolviel
 faith,Bronwethiel
 faye,Bainwen
 felicity,Alassë
 filipa,see phillipa
 finley,Vanafindiel
 fiona,Silivrenniel
 fiorella,Lostithenniel
 fleur,Lothiriel
 flora,see fleur
 florence,Lostariel
 fran,see frances
 frances,Laindessiel
 francesca,see frances
 frieda,Sidhiel
 gabriela,see gabrielle
 gabrielle,Erudessa
 gael,Lónannûniel
 gaerwn,Nimgarthiel
 galen,Nestariel
 galena,Sidhnanledhiel
 gemma,Miriel
 genevieve,see guinevere
 georgina,Santiel
 geraldine,Caunanechiel
 germaine,Tuimadhiel
 gertrude,Daugleriadhwen
 gianna,Eruraina
 ginny,see virginia
 gisele,Gwestiel
 glenda,Airemana
 glenys,Vanimaista
 gloria,Aglariel
 grace,Erulissë
 greer,Tiriel
 guinevere,Solorfainiel
 gwen,Silivrenniel
 gwladys,see claudia
 gwyneth,Amaniel
 hailey,Calloniel
 haley,see hailey
 halle,see hailey
 halley,see hailey
 hannah,see grace
 harlow,Gwetherindoliel
 harriet,Marcauniel
 hayanah,Andranniel
 heather,Lothiriel
 hedwig,Gothweniel
 heidi,Arquenniel
 helen,Caladhiel
 helge,Ainathiel
 hermione,Amariel
 hilary,Alasse
 holly,Ercassiel
 homa,Veredhiel
 hope,Estelwen
 ida,Nessima
 ilana,Daeralda
 ilse,Eruaistaniel
 ines,Castiel
 ingrid,Vanya
 inna,Nanethiel
 irene,Sidhiel
 iris,Ninniachel
 isabel,see isabelle
 isabella,see isabelle
 isabelle,see elizabeth
 isla,Lona
 ivana,Eruraina
 ivy,Laiqualassiel
 jacey,C)
 jacinta,Limpedhiel
 jacqueline,Beriadhwen
 jada,Idhrenniel
 jade,Calenmiriel
 jaena,Aemorniel
 jami,see jamie
 jamie,Neuriel
 jana,Eruraina
 jane,Apsenniel
 janet,see jane
 jean,see jane
 jeanette,Eruraina
 jen,see jennifer
 jenelle,see joan
 jenice,see jennifer
 jenna,Filegedhiel
 jennie,see jennifer
 jennifer,Nimthîriel
 jenny,see jennifer
 jerushah,Torthadiel
 jessica,Herenya
 jewel,Miriel
 jillian,Nithpantiel
 joan,Eruraina
 joanna,see joan
 joanne,see joan
 jocelyn,Honalassiel
 jodi,see jodie
 jodie,Rainerudhiel
 johanna,see joan
 joni,Eruraina
 jordan,Iellwen
 jordon,see jordan
 joscelyn,see jocelyn
 josephine,Anessathiel
 joy,Alassiel
 joyce,Alassë
 judith,Egleriel
 judy,see judith
 julia,Findëmaxa
 julianne,Nessima
 julie,see julia
 juliet,see julia
 juliette,see julia
 june,Náriel
 justine,Faelwen
 kaelen,see katherine
 kai,Eccaia
 kairi,see katherine
 kaitlin,see katherine
 kara,see cara
 karen,see katherine
 karin,see katherine
 karina,Meltithenniel
 karis,Quanteruanna
 karissa,see carissa
 kasey,see casey
 katalina,see katherine
 katarzyna,see katherine
 kate,see katherine
 katie,see katherine
 katherine,Manwathiel
 kathleen,see katherine
 kathryn,see katherine
 katlyn,see katherine
 katrina,see katherine
 katy,see katherine
 kayden,Manwamahtariel
 kayla,Sairahiniel
 kaylee,Eraisuithiel
 kayleigh,see kaylee
 kaylin,see katherine
 keara,see kiara
 keela,Vanglirtána
 keeley,Vanessë
 keira,Moréfindiel
 kelly,Maethoriel
 kellynn,Valpantiel
 kelsey,Círtolthiel
 kendall,Limoladiel
 kendra,Laesneniel
 kiara,Móreadhiel
 kiaya,Amonniel
 kiera,Dolledhiel
 kim,see kimberly
 kimber,Aragarthiel
 kimberly,Caunedhiel
 klishaya,Pedlimwen
 kori,Vendethiel
 krista,see christine
 kristen,Eruaistaniel
 kristie,see christine
 kristin,see kristen
 kristina,see christine
 lacey,Dorlainedainwen
 laerke,Liruliniel
 lana,Vanya
 lanae,Caladwen
 lanai,Talanniel
 lara,Siladhiel
 laura,Galadhwen
 laurel,see lauren
 lauren,Galasriniel
 laurie,see laura
 lavender,Galedlothia
 layla,Vanmoriel
 leah,Yerathiel
 leane,see leanne
 leanne,Rainyaviel
 lee,Berialagoswen
 leia,see leah
 leila,Mordollwen
 lenore,see helen
 leslie,Lairënuriel
 liberty,Lainathiel
 lily,Indilwen
 lilyana,see lily
 lina,Caladhiel
 linda,Linda
 lindsay,see lindsey
 lindsey,Sidhlairiel
 line,Rawodhiel
 lisa,Eruaistaniel
 liv,Cuilwen
 livia,see olivia
 liz,see elizabeth
 lois,Authiel
 lola,see dolores
 lopes,Draugathiel
 lorelei,Úsahtiel
 loretta,see laura
 lori,see laura
 lorina,see laura
 lorna,see lauren
 lou,Istimaethoriel
 louisa,Maetharanel
 louise,see louisa
 lourdes,Ostrandiriel
 lucia,Caladhiel
 lucy,Tegaladwen
 luna,Ithilwen
 lydia,Narylfiel
 lynn,see lynne
 lynne,Vanyalanthiriel
 lyra,Aerlinniel
 mabel,Melima
 macey,Eruantiel
 mackenzie,Beinedhiel
 madeleine,see madeline
 madeline,Minastauriel
 madison,Eruantienell
 madisyn,see madison
 maeghen,Thandiel
 magdalene,see madeleine
 maia,Nanethiel
 maile,Edlothialaswen
 makina,see maxine
 malin,see madeleine
 mandi,see mandy
 mandy,Meldacaniel
 manon,see mary
 mara,see mary
 margaret,Marilla
 maria,see mary
 mariah,see mary
 maria'luz,Saercalwen
 mariam,Seldirima
 marian,see mary
 marianne,see mary
 marianna,see mary
 marie,see mary
 marilyn,see mary
 marina,Aeariel
 marion,see mary
 marisa,see marissa
 marissa,Aeroniel
 marita,Manwathiel
 marjabelle,Vanamarilla
 martha,Arwen
 martina,Melardhoniel
 mary,Saerwen
 marybeth,Saeruwaedhiel
 matilda,Taurauthiel
 maureen,Morwen
 maxine,Andaeriel
 may,Lothroniel
 maya,see maia
 mckayla,see michelle
 medha,Hannasiel
 meg,see margaret
 megan,see margaret
 meghan,see margaret
 melanie,Morwen
 melicand,Belltassiel
 melinda,Medlinniel
 melissa,Nioniel
 melody,Aerlinniel
 meral,Calenmiriel
 mercedes,Faelwen
 meredith,Beriaearwen
 merilee,Faelwen
 mia,Sabariel
 michelle,Eraisuithiel
 milla,Hurtassiel
 minerva,Validhreniel
 mira,Pantanwariel
 miranda,Egleriel
 miriam,Earwen
 missy,Nesselde
 miya,Aistacariel
 molly,see mary
 mona,Arawen
 monica,Eriathwen
 monika,see monica
 monique,see monica
 morgan,Lancaeriel
 morgana,see morgan
 moriah,Eruherdiriel
 morina,see marina
 mufid,Maerwen
 muir,Lairiel
 muriel,Aercalima
 myriam,see miriam
 nadia,Estelwen
 nadine,Estelpantiel
 nancy,see anna
 nanessa,youth
 nanette,Raina
 naomi,Miluiel
 nari,Geliriel
 natalie,Onnedhiel
 natasha,Ennostiel
 nele,Silacaladhiel
 neora,Caladhiel
 neva,see neve
 neve,Velossfaeniel
 nevis,Dúventoliel
 ngila,Alasse
 nicole,Turwaithiel
 nikki,see nicole
 nina,Vendethiel
 noelle,Nosteruionwen
 nora,see norah
 norah,Caladhiel
 norma,Forvenniel
 olivia,Serethiel
 olympia,Erumara
 padma,Valiedhiel
 paetra,see petra
 paige,Tulcadhiel
 paloma,Cugedhiel
 pamela,Medlinniel
 pansy,Lothiriel
 paris,Faelostiel
 parita,Mithrenniel
 parvati,Aegliriell
 patricia,Nostariel
 paula,Nibenwen
 peggy,see margaret
 penelope,Nathronniel
 petra,Sarnedhiel
 peytie,Daugobelwen
 phillipa,Rochendilwen
 phoebe,Sílapenniel
 phyllis,Lassiel
 pia,Feanathiel
 polaris,Methenniel
 polly,see mary
 priscilla,Yára
 promise,Vandathiel
 rachel,Tithenmamiwen
 raquel,see rachel
 raven,Crabanniel
 rayanne,Rainarasinya
 rayne,Melcistima
 rebecca,Buieruwen
 reese,Barathiel
 regan,Aranhilwen
 regina,Táriel
 rei,Hantaliel
 rena,Aerlinniel
 renée,Adonnenniel
 rhea,Ethiriel
 rhianna,Lúthien
 rikki,Bellcauniel
 riley,Celunibeniel
 rita,Bronwethiel
 roberta,Calminaiel
 robin,see roberta
 robyn,see roberta
 rochelle,Gondtithenniel
 rockie,Gondothiel
 rogue,Útheniniel
 romy,Menathradiel
 rose,Merilwen
 rowan,Dolithiel
 rowena,Vanafindiel
 roxanne,Minuialwen
 ruby,Caramiriel
 ruth,Meldiriel
 sabrina,Aranel
 sadie,see sarah
 saffyre,see sapphire
 sally,see sarah
 sam,see samantha
 samantha,Erulastiel
 sammie,see samantha
 sammy,see samantha
 sandi,see alexandra
 sandra,Beriadanwen
 sandy,see alexandra
 sanya,see alexandra
 sapphire,Vindyamiriel
 sarah,Aranel
 saskia,see alexandra
 satine,Pathlanniel
 savannah,Ilbrethladwen
 scarlet,Carnadhiel
 scarlett,see scarlet
 scarlette,see scarlet
 selena,Ithilwen
 serena,Seredhiel
 shae,see shay
 shaina,see shayna
 shakira,Hantadhiel
 shalece,Hera
 shana,see shawna
 shannon,Filidhrentithiel
 shantelle,see chantelle
 shawnee,see shawna
 shawna,Eruraina
 shay,Antiel
 shayna,Vanya
 shea,Doredhelwen
 sheila,Menelwen
 shelby,Tobostiel
 shelly,Rhasslairiel
 sheryl,see cheryl
 shirael,Erulaeriel
 shirley,Calairiel
 shoshannah,Merilwen
 sian,Eruainantiel
 sibyll,Palantiriel
 sidni,see sydney
 sidney,Signe
 skyla,Istimiel
 sonora,Lammirima
 sonya,see sophia
 sophia,Idhrenniel
 staci,see anastasia
 stacy,see anastasia
 stefanie,see stephanie
 stella,Eleniel
 stephanie,Riniel
 stephany,see stephanie
 summer,Laerwen
 sunny,Anariel
 susan,Indilwen
 susannah,see susan
 suzanne,see susan
 sway,Nithiel
 sydney,Tolandiel
 taiah,Vancarmiel
 talia,Rossarinya
 tamara,Haeronalda
 tamera,Meldainiel
 tami,see tamara
 tammi,see tamara
 tammy,see tamara
 tania,Tarellethiel
 tanya,see tania
 tara,Tardoliel
 taryn,Tariel
 tatiana,see tania
 taylor,Habristiel
 teresa,Yaviel
 terry,Castiel
 tess,see teresa
 thalie,Lostariel
 thea,Eruanna
 theo,Valainantiel
 thy,Gliriel
 tia,Aranel
 tiana,see tia
 tiffany,Eruthiawen
 tilda,see matilda
 tilly,see matilda
 tina,Ethiriel
 tori,see victoria
 tora,Bruinedhiel
 tracy,see teresa
 trinity,Aineldiel
 tyra,Valauthiel
 ursula,Medlinya
 valentina,Melethiel
 valerie,Bellethiel
 vanessa,Gwilwileth
 venus,Melethainiel
 vera,Thenidiel
 veronica,Mantheniel
 victoria,Turwethiel
 viola,Helinniel
 violet,see viola
 virginia,Rodwen
 vivian,Cuilpantiel
 wanda,Nethlhindorniel
 wendy,Helmaninquiel
 whitney,Silivrentoliel
 wilmarie,Beriana
 winifred,Sidhmeldiriel
 winona,Mainonnenniel
 wren,Filegethiel
 xena,Estonniel
 yara,Earmaiviel
 yasmin,see jasmine
 yasmine,see jasmine
 yvonne,Raina
 yvette,see yvonne
 zoe,Laisidhiel
 zora,Minuialwen
 
