 aaron,Calanon (Kahl-ah-non)
 cedric,	Hérion (Hair-ee-on)
 chad,Suiauthon (Soo-ee-ow-thonn)
 chaitoo,Miuverthon (Mee-oo-vare-thonn)
 charles,Suiadan (Soo-ee-ah-dahn)
 chase,see hunter
 christian,Aphaderuiondur (Ah-fahd-air-oo-ee-on-dur)
 christopher,Eruaphadion (Air-oo-ah-fahd-ee-on)
 ciaran,Mornefindon (More-nay-finn-donn)
 clarence, Rilien (Rill-ee-ehn)
 clark, Istuion (Is-too-ee-on)
 claude, Úpadion (Oo-pahd-ee-on)
 clayton dornornoston (dore-nore-nost-on),
 cleveland taurhassdorien (towr-ahs-dore-ee-ehn),
 cliff, Rhassbaradhon (Rahs-bar-ah-thonn)
 clint, Amonost (Ah-monn-ost)
 clive, Rhassdorthion (Rahs-dore-thee-on)
 cody,Nedhudir (Neth-oo-dear)
 colby, Morfindien (More-fin-dee-ehn)
 cole,see nicholas
 colin, Sellion (Sell-ee-on)
 connor,Melcindómien (Mehl-kin-doe-mee-ehn)
 conrad,Veryangóle (Vare-yahn-goal-ay)
 corey,Rissien (Riss-ee-ehn)
 craig, Aeglironion (Eye-gleer-ohn-ee-on)
 curtis,Rainion(Rye-nee-on)
 cyril, Vehiron (Vay-heer-on)
 dakota, Meldiron (Mehl-dear-on)
 dallas,Saeldur (Sile-dur)
 damon, Sadron (Sahd-ronn)
 daniel,Erubadhron (Air-oo-bah-thronn)
 daran,Tithdaeron (Teeth-dire-on)
 darius,Caunidhrenon (Kown-ee-threhn-on)
 david,Meldarion (Mehl-dar-ee-on)
 davis,Meldariondwë (Mehl-dar-ee-ond-way)
 deacon,Emerion (Ehm-air-ee-on)
 dean,Imrathon (Eem-rah-thonn)
 declan,Maeron (Myre-on)
 dennis,Rhovanion (Roe-vah-nee-on)
 denzel,see dennis
 derek,Caunwaithon (Coun-wye-thonn)
 devlin,Bregolien (Brehg-ole-ee-ehn)
 dillon,Sadron (Sahd-ronn)
 dirk,see derek
 dominic,Eruheran (Air-oo-hair-ahn)
 donald,Caunardhon (Coun-are-thonn)
 donovan,Morohtar (More-oh-tahr)
 douglas,Mornenion (More-nehn-ee-on)
 draco,Locien (Lock-ee-ehn)
 drago,see draco
 drake,see draco
 duncan,Baramaethor (Bar-ah-my-thore)
 dustin,Veryamaethon (Vare-yah-my-thonn)
 dwayne,Racerediron (Rah-kare-eh-dear-on)
 dylan,Aearion (Eye-ARE-ee-on)
 earl,Aradan (Are-ah-dahn)
 eder,Hothien (Hoth-ee-ehn)
 edmund,Beriogelir (Bear-ee-oh-geh-leer)
 edward,see edmund
 edwin,Alyameldir (Ahl-yah-mell-deer)
 elias,see elijah
 elijah,Hirnaeranin (Here-nie-rah-neen)
 elliot,see elijah
 elliott,see elijah
 elmo,Melimion (Mel-LEEM-ee-on)
 emeril,Valpanbarion (Vahl-pahn-bahr-ee-on)
 emil,Hûrtassion (Hoor-tahs-see-on)
 emmett,Mátamelcan (Mah-tah-mel-kahn)
 ernest,Veassen (Vay-ahs-sehn)
 eric,Caunion (Coun-ee-on)
 errol,Revion (Rehv-ee-on)
 ethan,Tangadion (Tahn-gah-dee-on)
 eugene,Eithelonnen (Ay-thell-oh-nehn)
 evan,Nithron (Nee-thronn)
 ewan,see evan
 facundo,Maethirion (My-theer-ee-on)
 felix,Almárean (Ahl-MAR-ay-ahn)
 fergus,Suiadan (Soo-ee-ah-dahn)
 ferguson,Suiadanion (Soo-ee-ah-dahn-ee-on)
 finley,Vanafindon (Vahn-ah-finn-donn)
 frank,Lainadan (Lye-nah-dahn)
 frederic,Sidhenidon (Sith-ehn-ih-donn)
 gabriel,Eruadan (Air-oo-ah-dahn)
 galen,Nestarion (Nehs-tahr-ee-on)
 garth,Nostalion (Nost-ahl-ee-on)
 gary,Ehtyarion (Eht-yah-ree-on)
 gavin,Tithaefarason (Tee-thy-far-ahs-on)
 gene,Herenyonnen (Hair-ehn-yohn-nehn)
 geoffrey,Dorsidhion (Dore-see-thee-on)
 george,Eredhion (Air-eh-thee-on)
 gideon,Daermaethor (Dire-my-thore)
 gilbert,Bercalion (Bear-kahl-ee-on)
 gilderoy,Aransadorien (Are-ahn-sah-dore-ee-ehn)
 glenn,Imrathion (Eem-rah-thee-on)
 graham,Suiauthon (Soo-ee-ow-thonn)
 grant,Daeron (Dire-on)
 gregory,Tirithon (Tear-ith-on)
 griffin,Carsuithon (Kar-swee-thon)
 hammond,Mardion (Mar-dee-on)
 harlow,Gwetherindolien (Gweh-thare-inn-dole-ee-ehn)
 harold,Caundaugion (Cown-dowg-ee-on)
 harry,see henry
 haven,Bandorion (Bahn-dore-ee-on)
 hayden,Merilairon (Mare-ill-eye-ronn)
 haytham,Nethaefarason (Neh-thy-far-ahs-on)
 henrik,see henry
 henry,Marcaunon (Mar-cow-nonn)
 hilary,Alassien (Ah-lahs-see-ehn)
 howard,Melcinítan (Mehl-KIH-nee-tahn)
 hugo,Faeron (Fie-ronn)
 humphrey,Sidhion (See-thee-on)
 hunter,Feredir (Fair-eh-dear)
 ian,see john
 ignatius,Barathon (Bar-ah-thonn)
 ilker,Minyadan (Minn-yah-dahn)
 isaac,Lalaithion (Lah-LITHE-ee-on)
 isaiah,Eruedraithon (Air-oo-ehd-rithe-on)
 israel,Erudagrian (Air-oo-dahg-ree-ahn)
 ivan,see john
 jack,see john
 jacob,Neurion (Nur-ee-on)
 jake,see jacob
 james,see jacob
 jamie,see jacob
 jared,Glennodad (Glen-no-dahd)
 jaroslav,Tuilalcaron (Too-eel-ahl-kar-on)
 jarrett,see jared
 jarvis,Orthorien (Ore-thore-ee-ehn)
 jason,Nestaron (Nehs-TAR-on)
 jay,Aemornion (Eye-more-nee-on)
 jedidiah,Erumeldir (Air-oo-mehl-deer)
 jeffrey,see geoffrey
 jeremy,Eruaran (Air-oo-are-ahn)
 jeroen,Airadan (Ire-ah-dahn)
 jerry,Airion (Eye-ree-on)
 jesse,Erumaren (Air-oo-mar-ehn)
 jesus,Erutulcien (Air-oo-tool-kee-ehn)
 joe,see joseph
 joel,Indómerun (In-doe-mare-oon)
 joey,see joseph
 john,Erurainon (Air-oo-rye-nonn)
 johnny,see john
 jon,see john
 jonah,Cugedhion (Koo-geh-thee-on)
 jonathan,Eruantion (Air-oo-ahnt-ee-on)
 jordan,Ionwë (Ee-on-way)
 jordon,see jordan
 jose,see joseph
 joseph,Anessen (Ah-ness-ehn)
 joshua,Eruedraith (Air-oo-ehd-rithe)
 juan,see john
 jude,Eglerion (Eh-glare-ee-on)
 julian,Nessimon (Ness-EE-mohn)
 justin,Faelon (Fie-lonn)
 karl,see charles
 kayden,Idhrenohtar (Ee-threnn-oh-tahr)
 kayne,Handion (Hahn-dee-on)
 keith,Glenndaugion (Glenn-dow-gee-on
 kellis,Beinion (Bay-nee-on)
 kelly,Maethorion (My-thore-ee-on)
 ken,see kenneth
 kenneth,Beinion (Bay-nee-on)
 kenton,Arandorion (Are-ahn-dore-ee-on)
 kevin,Beinion (Bane-ee-on)
 kian,Iauron (Ee-hour-on)
 kim,Hérion (Hair-ee-on)
 kirk,Erucaron (Air-oo-kar-on)
 kobe,see jacob
 kofi,Valanyonnen (Vahl-ahn-yoh-nehn)
 kurt,Polengoldur (Pole-ehn-goal-dur)
 kyle,Talfagoron (Tahl-fah-gore-on)
 lance,Talathion (Tah-LAHTH-ee-on)
 landon,Talathârdon (Tah-lah-thar-donn)
 larry,Laiqualassien (Lye-quah-lahs-see-ehn)
 laurance,see laurence
 laurence,Galasrinion (Gahl-ahs-rinn-ee-on)
 layne,Agormenion (Ah-gore-mehn-ee-on)
 lee,Lairion (Lyre-ree-on)
 leo,Raunien (Row-nee-ehn
 leonard,Bellrauthien (Bell-row-thee-ehn)
 liam,see william
 liberty,Lainathion (Lye-nah-thee-on)
 lionel,Nethraunien (Neth-row-nee-ehn)
 lloyd,Mithrennon (Meeth-rehn-nohn)
 logan,Côfniben (Cofe-nee-ben)
 loren,see laurence
 louis,Cundmaethor (Koond-my-thore)
 lucius,see luke
 luke,Tegalad (Teh-GAH-lahd)
 luther,Calamaethor (Kah-lah-my-thore)
 magnus,Daeron (Dire-on)
 malcolm,Cugechilon (Coo-geh-kheel-on)
 marcus,see mark
 mario,see mark
 mark,Suiauthon (Soo-ee-ow-thonn)
 marshall,Daugon (Dow-gone)
 martin,see mark
 mason,Gonmudasion (Gone-moo-dahs-ee-on)
 mateo,Eruansathron (Air-oo-ahn-sah-thronn)
 matthew,Eruantien (Air-oo-ahnt-ee-ehn)
 max,Andaer (Ahn-dire)
 mayke,Cerediron (Kare-eh-dear-on)
 mel,see melvin
 melvin,Breithmudason (Braythe-moo-dahs-on)
 merle,Aefaradien (Eye-far-ahd-ee-ehn)
 michael,Eraisuithon (Air-eye-soo-ee-thonn)
 mickey,see michael
 mike,see michael
 mikey,see michael
 mitchell,see michael
 morgan,Lancaeron (Lahn-kye-ronn)
 nat,see nathaniel
 nate,see nathaniel
 nathan,Antien (Ahn-tee-ehn)
 nathaniel,Eruantien (Air-oo-ahnt-ee-ehn)
 neal,Herion (Hair-ee-on)
 neil,see neal
 nelson,see niles
 neville,Edenost (Eh-den-nohst)
 nicholas,Turwaithion (Toor-wye-thee-on)
 nick,see nicholas
 niles,Heronion (Hair-on-ee-on)
 nils,see niles
 noah,Randir (Ee-thronn)
 noel,Nosteruion (Nohst-air-oo-ee-on)
 nolan,Istmaedhon (Eest-my-thonn)
 oliver,Sidhion (Seeth-ee-on)
 onur,Arphenion (Are-fehn-ee-on)
 orlando,Maldor (Mahl-dore)
 oscar,Bellasvalainon (Behl-lahs-vahl-eye-non)
 owen,Arthonnen (Arth-oh-nehn)
 patrick,Nostarion (Nost-are-ee-on)
 paul,Nibenon (Nee-benn-on)
 percival,Maeglad (My-glahd)
 percy,see percival
 perry,see peter
 peter,Hirgon (Hear-gone)
 peyton,Daugobelion (Dow-go-behl-ee-on)
 philip,Rochendil (Rokh-ehn-deel)
 rafael,see raphael
 rafik,Miluion (Mill-wee-on)
 rajiv,Tidurian (Tih-doo-ree-ahn)
 ralph,Draugolë (Drow-gole-ay)
 randall,see ralph
 randalph,see randolph
 randolph,Thandraug (Thahn-drowg)
 randy,Bellthandien (Behl-thahn-dee-ehn)
 raphael,Erunestian (Air-oo-nest-ee-ahn)
 raul,see ralph
 ray,see raymond
 raymond,Beridhren (Bear-ee-threnn)
 reece,Nendir (Nehn-deer)
 reed,Tharsirion (Thahr-seer-ee-on)
 reese,Barathion (Bahr-ah-thee-on)
 regan,Aranhil (Are-ahn-hill)
 regis,Caunion (Cow-nee-on)
 reilly,Nibensirien (Nee-behn-seer-ee-ehn)
 remus,Horthien (Hore-thee-ehn)
 richard,Bellcaunion (Behl-cow-nee-on)
 riley,see reilly
 rindell,Taurion (Towr-ee-on)
 robert,Calminaion (Kahl-minn-eye-on)
 robin,see robert
 rodney,Dorainen (Dore-eye-nehn)
 roger,Minaithelan (Min-eye-theh-lahn)
 roland,Tristimdorion (Treest-eem-dore-ee-on)
 ronald,Balanidhren (Bahl-ahn-ee-threnn)
 ross,Yattien (Yaht-tee-ehn)
 roy,Aranion (Are-ahn-ee-on)
 ruben,Eleyond (Ell-eh-yohnd)
 rubeus,Caranion (Kar-ahn-ee-on)
 rudy,see rudolph
 rudolph,Draugminaion (Drowg-mee-nye-on)
 rufus,see russell
 rupert,see robert
 russ,see russell
 russell,Carandol (Kahr-ahn-dole)
 ryan,Aranethon (Ar-ah-nehth-on)
 sam,see samuel
 samuel,Eruestan (Air-oo-ehs-tahn)
 scott,Caelamondorion (Kye-lah-mohn-door-ee-on)
 seamus,see jacob
 sean,see john
 sebastian,Eglerion (Eh-glare-ee-on)
 seth,Cilmion (Kill-mee-on)
 severus,Naracion (Nar-ahk-ee-on)
 shane,Erurainion (Air-oo-rye-nee-on)
 shaquille,Vanimon (Vahn-ee-mon)
 siegfried,Tûrsidhion (Toor-see-thee-on)
 sigmund,Tûrin (Too-rinn)
 simon,Lathron (Lahth-ron)
 sirius,Limdur (Leem-dur)
 smithy,Mordemirdanian (More-day-meer-dahn-ee-ahn)
 spencer,Hebion (Hehb-ee-on)
 stanley,Lairondren (Lyre-on-drenn)
 stellan,Elenion (Ehl-ee-nee-on)
 stephan,see steven
 steven,Rinion (Rinn-ee-on)
 stoddard,Roherdiron (Roh-hair-deer-on)
 storm,Alagos (Ahl-ah-gohse)
 stuart,Arandur (Ar-ahn-dur)
 sylvester,Erynion (Air-oon-ee-on)
 tad,Eglerion (Ehg-lare-ee-on)
 tarian,Thandion (Thahn-dee-on)
 taylor,Habriston (Hah-briss-tonn)
 terrell,Bruicaunion (Broo-ee-cow-nee-on)
 terry,Castien (Kah-stee-ehn)
 theodore,Eruantien (Air-oo-ahnt-ee-ehn)
 thomas,Onónion (Oh-no-nee-on)
 tiago,see jacob
 tiger,Valpamiucon (Vahl-pahm-ee-oo-kon)
 timothy,Erutáron (Air-oo-tar-onn)
 toby,Maererun (Myre-air-oon)
 todd,Ruscion (Roos-kee-on)
 tomas,see thomas
 tranquilino,Sidhpantion (Seeth-pahnt-ee-on)
 travis,Menathradon (Mehn-ahth-rah-donn)
 trent,Nechaenion (Nell-khye-nee-on)
 trevon,see trevor
 trevor,Idhrenion (Ee-threnn-ee-on)
 troy,Tâldaugion (Tahl-dowg-ee-on)
 tucker,see taylor
 tud,Rainantien (Rye-nahn-tee-ehn)
 ty,Gleinadhorion (Glay-nah-thore-ee-on)
 tyler,Ceredirond (Kare-eh-dear-ond)
 tyson,Dramorion (Drah-more-ee-on)
 urban,Minastion (Mee-nahs-tee-on)
 victor,Ortherion (Ore-there-ee-on)
 viggo,Authion (Ow-thee-on)
 vince,see vincent
 vincent,Turin (Too-rinn)
 wade,Athradien (Ahth-rahd-ee-ehn)
 wallace,Haerion (Hire-ee-on)
 walker,Taurvantian (Towr-vahn-tee-ahn)
 walter,Balamaethor (Bahl-ah-my-thore)
 warner,Beriohtarion (Bear-ee-oh-tahr-ee-on)
 wayne,see dwayne
 wesley,Parthannûn (Pahr-THAHN-noon)
 william,Beriothien (Bear-ee-oh-thee-ehn)
 winsor,Falasnornion (Fahl-ahs-nore-nee-on)
 wood,Erynion (Air-oon-ee-on)
 wouter,Bellmaethorion (Behl-my-thore-ee-on)
 wyatt,Sidhpantion (Seeth-pahnt-ee-on)
 xavier,Edenoston (Eh-den-ost-onn)
 yogi,Cerederthan (Kare-eh-dare-thahn)
 zach,see zachary
 zachary,Manwë (Mahn-way)
 zackarion,see zachary
 zebedee,Ovorion (Oh-vore-ee-on)
 zebulon,Haldir (Hahl-dear)
 zephyr,Bellsulion (Behl-sool-ee-on)

